Player,Team_TransferSite,Age,Position,TransferValue_EUR_Millions,Highest_ETV
Jordan Ayew,Leicester,33,"F (CR), M (R)",4.2,11.7
Ricardo Pereira,Leicester,31,D (R),4.1,25.3
Welington,Southampton,24,D (L),4.0,5.1
Ryan Manning,Southampton,28,"D, M (L)",3.9,5.0
Jack Taylor,Ipswich Town,26,"DM, M (C)",3.8,3.8
Ross Stewart,Southampton,28,F (C),2.8,6.1
Bobby Reid,Leicester,32,"F (R), M (RL)",2.7,9.2
Jamaal Lascelles,Newcastle Utd.,31,D (C),2.7,18.8
Hákon Rafn Valdimarsson,Brentford,23,GK,2.4,5.3
Carlos Vinícius,Fulham,30,F (C),2.4,5.1
Michael Keane,Everton,32,D (C),2.3,
Ryan Fraser,Southampton,31,"F, AM (L)",2.3,20.7
Michael Golding,Leicester,18,M (C),2.3,7.3
Harry Toffolo,Nottingham,29,D (L),2.2,13.5
Conor Coady,Leicester,32,D (C),2.2,44.7
Daniel Iversen,Leicester,27,GK,2.1,7.2
James Hill,B'mouth,23,D (CR),2.1,2.4
Wes Burns,Ipswich Town,30,M (R),2.1,4.0
Charlie Taylor,Southampton,31,D (CL),2.1,13.4
Jannik Vestergaard,Leicester,32,D (C),2.0,16.0
Emil Krafth,Newcastle Utd.,30,D (CR),2.0,4.3
Jamal Lewis,Newcastle Utd.,27,D (L),2.0,22.2
Luke Woolfenden,Ipswich Town,26,D (C),2.0,10.8
James Bree,Southampton,27,D (CR),1.9,8.0
Woyo Coulibaly,Leicester,25,D (RL),1.9,2.0
Caleb Kporha,C. Palace,18,D (R),1.7,1.7
Cameron Burgess,Ipswich Town,29,D (C),1.7,1.7
Alex Palmer,Ipswich Town,28,GK,1.6,3.0
Neto,Arsenal,35,GK,1.6,8.3
Kortney Hause,Aston Villa,29,D (CL),1.5,5.0
Daniel Bentley,Wolverhampton,31,GK,1.5,6.8
Adam Smith,B'mouth,34,D (R),1.5,13.5
Craig Dawson,Wolverhampton,34,D (C),1.5,11.2
Jason Steele,Brighton,34,GK,1.5,2.0
Kasey McAteer,Leicester,23,"F, M (R)",1.5,1.5
Tom Cairney,Fulham,34,"M, DM (C)",1.5,10.2
Malcolm Ebiowei,C. Palace,21,"F, M (R)",1.5,2.9
Christian Walton,Ipswich Town,29,GK,1.4,2.2
Jack Stephens,Southampton,31,D (CL),1.4,4.8
Willy Boly,Nottingham,34,D (CR),1.4,20.3
Omari Kellyman,Chelsea,19,F (C),1.4,3.5
Ashley Young,Everton,39,D (RL),1.3,9.1
Sam Morsy,Ipswich Town,33,"M, DM (C)",1.3,6.7
Willian,Fulham,36,"F, M, AM (L)",1.3,64.2
Wesley Foderingham,West Ham United,34,GK,1.3,3.0
Martin Dúbravka,Newcastle Utd.,36,GK,1.3,10.7
Conor Townsend,Ipswich Town,32,D (L),1.2,7.0
Will Dennis,B'mouth,24,GK,1.2,1.6
Cieran Slicker,Ipswich Town,22,GK,1.2,2.5
James Milner,Brighton,39,"M (C), D (R)",1.2,20.7
Jonny Evans,Man Utd,37,D (C),1.1,10.8
Nathaniel Clyne,C. Palace,34,D (R),1.0,37.6
Steven Benda,Fulham,26,GK,1.0,1.1
Kim Ji-Soo,Brentford,20,D (C),1.0,1.0
Marcus Bettinelli,Chelsea,32,GK,1.0,5.6
Jamie Vardy,Leicester,38,F (C),1.0,18.1
Michail Antonio,West Ham United,35,F (C),1.0,17.9
Robin Olsen,Aston Villa,35,GK,0.9,5.3
Ben Mee,Brentford,35,D (CL),0.9,16.2
Danny Ward,Leicester,31,GK,0.9,4.1
Kaden Rodney,C. Palace,20,"DM, M (C)",0.9,1.2
Adam Lallana,Southampton,36,"AM, M (C)",0.9,22.0
Łukasz Fabiański,West Ham United,40,GK,0.9,5.3
Asmir Begović,Everton,37,GK,0.8,15.6
Aaron Cresswell,West Ham United,35,D (L),0.8,19.8
Edmond-Paris Maghoma,Brentford,23,M (C),0.8,1.2
Brandon Austin,Tottenham,26,GK,0.8,0.8
Joe Lumley,Southampton,30,GK,0.7,3.3
John Ruddy,Newcastle Utd.,38,GK,0.7,4.7
Séamus Coleman,Everton,36,D (R),0.7,13.4
Harry Amass,Man Utd,18,D (L),0.7,0.8
Jakub Stolarczyk,Leicester,24,GK,0.7,0.7
Fraser Forster,Tottenham,37,GK,0.7,19.1
Joel Ward,C. Palace,35,D (R),0.7,
Harvey Davies,Liverpool,21,GK,0.6,0.9
Alex McCarthy,Southampton,35,GK,0.6,4.7
Tom King,Wolverhampton,30,GK,0.6,0.6
Lucas Bergström,Chelsea,22,GK,0.6,0.6
João Virgínia,Everton,25,GK,0.6,2.8
Tom McGill,Brighton,25,GK,0.5,0.5
Massimo Luongo,Ipswich Town,32,"M, DM (C)",0.5,4.3
Alfie Whiteman,Tottenham,26,GK,0.5,0.5
Remi Matthews,C. Palace,31,GK,0.4,2.6
Mark Gillespie,Newcastle Utd.,33,GK,0.4,0.4
Wayne Hennessey,Nottingham,38,GK,0.4,3.1
Scott Carson,Man City,39,GK,0.4,1.6
Tom Heaton,Man Utd,39,GK,0.4,10.5
Ranel Young,Liverpool,19,F (C),0.2,0.2
Rento Takaoka,Southampton,18,F (C),0.2,0.2
Richard Olise,Chelsea,20,D (R),0.09,0.2
